Albatrosz Aladin
Antilop Anett
Bagoly Barbara
Cet Celina
Csincsilla Csilla
Daru Dalbert
Impala Izabella
Lepke Lenke
Maky Marcell
Medve Melani
Oposszum Opika
Panda Patrik
Sas Samu
Tatu Tamara
Teve Teofil
Vadmacska Vadony
Zerge Zenina
Bivaly Biti
Borz Borka
Emu Emil
Farkas Farkas
Fecske Ferenc
Hangya Hanna
Kaffer Kada
Kutya Kuniginda
Majmocska Maja
Nyerst Nyikos
Giliszta Gilbert
Gorilla Gotfrid
Kenguru Kevin
Lemming Lea
Mormota Molli
Pekry Petra
Poloska Polli
Siketfajd Simon
Szarvas Szamanta
Tobzoska Tobor
Vidra Viktor
Hal Hajnal
Hermelin Herman
Krokodil Kreola
Pulyka Pozsinka
Vakondok Valter
Pocok Polett
Puma Pongor
Zebra Zebulon
Delfin Deniel
Gibbon Gida
Pingvin Piroska
